,Coverage_rate,NMPIW,Coverage_rate/Width
No_PCGrad,0.9956915378570557,0.05344117432832718,22.14763832092285
PCGrad,0.9995323419570923,0.023847457021474838,53.79497146606445
No_PCGrad,0.9994260668754578,0.05932212993502617,18.861379623413086
PCGrad,0.9831146597862244,0.03835941106081009,28.805068969726562
No_PCGrad,0.9979740381240845,0.04716341942548752,25.052165985107422
PCGrad,0.9703021049499512,0.03511158376932144,32.83868408203125
No_PCGrad,0.99696946144104,0.06279613077640533,17.522844314575195
PCGrad,0.9983019232749939,0.028309987857937813,41.164981842041016
No_PCGrad,0.9836541414260864,0.04748876392841339,23.721698760986328
PCGrad,0.992263674736023,0.029919855296611786,39.388179779052734
No_PCGrad,0.9972282648086548,0.04852357506752014,23.873210906982422
PCGrad,0.9763389229774475,0.032063957303762436,36.07196807861328
No_PCGrad,0.9966389536857605,0.053957290947437286,21.21953010559082
PCGrad,0.9992891550064087,0.047286149114370346,22.413803100585938
No_PCGrad,0.9975870847702026,0.04810284450650215,24.31109619140625
PCGrad,0.9851579666137695,0.032110147178173065,36.39212417602539
No_PCGrad,0.9945921897888184,0.04883091151714325,23.55128288269043
PCGrad,0.9777378439903259,0.03810049965977669,30.505643844604492
No_PCGrad,0.9970657229423523,0.051344241946935654,22.46239471435547
PCGrad,0.9816789627075195,0.03784025087952614,29.36260986328125
